time,x,y,vx,vz,eta,distance_remaining,recoveries,battery
809.2700000000001,-0.014159336843144155,-0.039245289842022406,0.0,0.0,0.0,0.0,0,99.99998474121094
809.2700000000001,-0.014159336843144155,-0.039245289842022406,0.0,0.0,0.0,0.0,0,99.99998474121094
809.2700000000001,-0.014159394985552251,-0.039245287998314435,0.0,0.0,0.0,5.2769341468811035,0,99.99998474121094
809.2700000000001,-0.014159394985552251,-0.039245287998314435,0.0,0.0,0.0,5.2769341468811035,0,99.99998474121094
809.2700000000001,-0.014159394985552251,-0.039245287998314435,0.0,0.0,0.0,5.2769341468811035,0,99.99998474121094
809.2700000000001,-0.014159417198854359,-0.03924528543010848,0.0,0.0,0.0,5.2769341468811035,0,99.99998474121094
809.2700000000001,-0.014159417198854359,-0.03924528543010848,0.0,0.0,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159417198854359,-0.03924528543010848,0.125,-0.16,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159417198854359,-0.03924528543010848,0.125,-0.16,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159417198854359,-0.03924528543010848,0.125,-0.16,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159383718452254,-0.03924528875632166,0.125,-0.16,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159383718452254,-0.03924528875632166,0.125,-0.16,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159383718452254,-0.03924528875632166,0.125,-0.16,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159383718452254,-0.03924528875632166,0.19684210526315787,-0.32,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.014159383718452254,-0.03924528875632166,0.19684210526315787,-0.32,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.015308723442078625,-0.03923394009495525,0.19684210526315787,-0.32,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.015308723442078625,-0.03923394009495525,0.19684210526315787,-0.32,0.0,5.2769341468811035,0,99.99998474121094
809.37,-0.015308723442078625,-0.03923394009495525,0.19684210526315787,-0.48,0.0,5.2769341468811035,0,99.99998474121094
809.47,-0.017611109704848214,-0.03921119797964863,0.19684210526315787,-0.48,0.0,5.2769341468811035,0,99.99998474121094
809.47,-0.017611109704848214,-0.03921119797964863,0.19684210526315787,-0.48,470.380281487,5.2769341468811035,0,99.99998474121094
809.47,-0.017611109704848214,-0.03921119797964863,0.19684210526315787,-0.48,470.380281487,5.2769341468811035,0,99.99998474121094
809.47,-0.017611109704848214,-0.03921119797964863,0.19684210526315787,-0.48,470.380281487,5.2769341468811035,0,99.99998474121094
809.47,-0.02107333538775079,-0.03917699285355812,0.19684210526315787,-0.64,470.380281487,5.2769341468811035,0,99.99998474121094
809.47,-0.02107333538775079,-0.03917699285355812,0.19684210526315787,-0.64,235.468516259,5.2769341468811035,0,99.99998474121094
809.47,-0.02107333538775079,-0.03917699285355812,0.19684210526315787,-0.64,235.468516259,5.2769341468811035,0,99.99998474121094
809.47,-0.02107333538775079,-0.03917699285355812,0.19684210526315787,-0.64,235.468516259,5.2769341468811035,0,99.99998474121094
809.47,-0.02107333538775079,-0.03917699285355812,0.19684210526315787,-0.64,235.468516259,5.2769341468811035,0,99.99998474121094
809.47,-0.02568999873344337,-0.03913136940814107,0.19684210526315787,-0.8,141.16115334,5.2769341468811035,0,99.99998474121094
809.47,-0.02568999873344337,-0.03913136940814107,0.19684210526315787,-0.8,141.16115334,5.2769341468811035,0,99.99998474121094
809.47,-0.02568999873344337,-0.03913136940814107,0.19684210526315787,-0.8,141.16115334,5.2769341468811035,0,99.99998474121094
809.57,-0.03105430900891932,-0.03907594311018167,0.19684210526315787,-0.8,96.317617745,5.2769341468811035,0,99.99998474121094
809.57,-0.03105430900891932,-0.03907594311018167,0.19684210526315787,-0.8,96.317617745,5.2769341468811035,0,99.98308563232422
809.57,-0.03105430900891932,-0.03907594311018167,0.19684210526315787,-0.9600000000000001,96.317617745,5.2769341468811035,0,99.98308563232422
809.57,-0.03677436865537032,-0.03899628357136563,0.19684210526315787,-0.9600000000000001,71.944387902,5.2769341468811035,0,99.98308563232422
809.57,-0.03677436865537032,-0.03899628357136563,0.19684210526315787,-0.9600000000000001,71.944387902,5.2769341468811035,0,99.98308563232422
809.57,-0.03677436865537032,-0.03899628357136563,0.19684210526315787,-0.9600000000000001,71.944387902,5.2769341468811035,0,99.98308563232422
809.57,-0.03677436865537032,-0.03899628357136563,0.19684210526315787,-0.9600000000000001,71.944387902,5.2769341468811035,0,99.98308563232422
809.57,-0.042837971815891336,-0.038836115740683616,0.19684210526315787,-0.9600000000000001,71.944387902,5.2769341468811035,0,99.98308563232422
809.57,-0.042837971815891336,-0.038836115740683616,0.19684210526315787,-1.0,56.715177813,5.2769341468811035,0,99.98308563232422
809.57,-0.042837971815891336,-0.038836115740683616,0.19684210526315787,-1.0,56.715177813,5.2769341468811035,0,99.98308563232422
809.57,-0.042837971815891336,-0.038836115740683616,0.19684210526315787,-1.0,56.715177813,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.049416034602609,-0.03849095383658799,0.19684210526315787,-1.0,56.715177813,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.049416034602609,-0.03849095383658799,0.19684210526315787,-1.0,46.107473041,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.049416034602609,-0.03849095383658799,0.19684210526315787,-1.0,46.107473041,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.049416034602609,-0.03849095383658799,0.19684210526315787,-1.0,46.107473041,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.049416034602609,-0.03849095383658799,0.19684210526315787,-1.0,46.107473041,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.05613900398818973,-0.03786436062417737,0.19684210526315787,-1.0,46.107473041,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.05613900398818973,-0.03786436062417737,0.20842105263157892,-1.0,46.107473041,5.2769341468811035,0,99.98308563232422
809.6700000000001,-0.05613900398818973,-0.03786436062417737,0.20842105263157892,-1.0,38.680903227,5.2769341468811035,0,99.98308563232422
